"","Customer ID","Gender","Age","Income (USD/Month)","Transactions","Total Charged","Average Charged","Average KM Travelled","City","Prefered Company"
"23",23,"Female",28,19783,35,19769.15,564.832857142857,24.46,"NEW YORK NY","Yellow Cab"
"24",24,"Male",40,12701,23,14234.71,618.900434782609,24.204347826087,"NEW YORK NY","Yellow Cab"
"25",25,"Male",30,17708,39,21219.44,544.088205128205,22.3474358974359,"NEW YORK NY","Yellow Cab"
"26",26,"Male",44,5343,38,24375.72,641.466315789474,23.9471052631579,"NEW YORK NY","Yellow Cab"
"27",27,"Female",36,2826,38,20167.68,530.728421052632,22.9468421052632,"NEW YORK NY","Yellow Cab"
"28",28,"Male",25,6808,38,26161.97,688.472894736842,25.2334210526316,"NEW YORK NY","Yellow Cab"
"29",29,"Female",59,12740,30,15449.77,514.992333333333,20.6776666666667,"NEW YORK NY","Yellow Cab"
"30",30,"Male",19,15361,32,22207.65,693.9890625,26.405625,"NEW YORK NY","Yellow Cab"
"31",31,"Female",29,5790,35,18312.83,523.223714285714,21.346,"NEW YORK NY","Yellow Cab"
"32",32,"Female",62,13535,34,19315.66,568.107647058824,22.0373529411765,"NEW YORK NY","Yellow Cab"
"33",33,"Female",22,10792,41,25920.95,632.218292682927,24.0456097560976,"NEW YORK NY","Yellow Cab"
"34",34,"Female",24,16935,20,12787.13,639.3565,27.2515,"NEW YORK NY","Yellow Cab"
"35",35,"Female",39,21879,28,17868.2,638.15,25.3535714285714,"NEW YORK NY","Yellow Cab"
"36",36,"Female",38,9050,33,21328.04,646.304242424242,24.1587878787879,"NEW YORK NY","Yellow Cab"
"37",37,"Female",25,20505,35,20773.42,593.526285714286,23.6945714285714,"NEW YORK NY","Yellow Cab"
"38",38,"Male",59,7232,36,18821.07,522.8075,21.7544444444444,"NEW YORK NY","Yellow Cab"
"39",39,"Male",23,18059,30,17211.86,573.728666666667,22.3696666666667,"NEW YORK NY","Yellow Cab"
"40",40,"Female",19,13106,28,16363.87,584.423928571429,22.505,"NEW YORK NY","Yellow Cab"
"41",41,"Male",30,19946,29,17398.05,599.93275862069,23.0793103448276,"NEW YORK NY","Yellow Cab"
"42",42,"Female",27,3120,34,19542.47,574.778529411765,22.8667647058824,"NEW YORK NY","Yellow Cab"
"43",43,"Male",27,5061,34,18707.96,550.234117647059,21.7555882352941,"NEW YORK NY","Yellow Cab"
"44",44,"Male",22,14987,42,28127.33,669.698333333333,25.1571428571429,"NEW YORK NY","Yellow Cab"
"45",45,"Male",21,19990,40,24529.13,613.22825,24.76875,"NEW YORK NY","Yellow Cab"
"46",46,"Female",37,19348,28,13082.49,467.231785714286,20.2346428571429,"NEW YORK NY","Yellow Cab"
"47",47,"Male",33,13758,35,20201.69,577.191142857143,22.2831428571429,"NEW YORK NY","Yellow Cab"
"48",48,"Male",18,20946,35,19752.18,564.348,22.4197142857143,"NEW YORK NY","Yellow Cab"
"49",49,"Female",47,23010,42,24581.82,585.281428571429,22.1669047619048,"NEW YORK NY","Yellow Cab"
"50",50,"Male",24,23726,25,11501.53,460.0612,18.7324,"NEW YORK NY","Yellow Cab"
"51",51,"Male",25,32471,32,15741.15,491.9109375,22.0934375,"NEW YORK NY","Yellow Cab"
"52",52,"Male",23,14300,44,28118.61,639.059318181818,25.31,"NEW YORK NY","Yellow Cab"
"53",53,"Male",37,4822,30,15655.25,521.841666666667,21.2096666666667,"NEW YORK NY","Yellow Cab"
"54",54,"Female",28,8227,36,17789.59,494.155277777778,20.4688888888889,"NEW YORK NY","Yellow Cab"
"55",55,"Female",27,22531,32,16851.48,526.60875,19.0971875,"NEW YORK NY","Yellow Cab"
"56",56,"Female",18,15353,28,13470.67,481.095357142857,20.2496428571429,"NEW YORK NY","Yellow Cab"
"57",57,"Male",53,15898,41,23457.26,572.128292682927,22.4841463414634,"NEW YORK NY","Yellow Cab"
"58",58,"Female",36,11686,34,17293.32,508.627058823529,20.315,"NEW YORK NY","Yellow Cab"
"59",59,"Male",56,9181,42,22995.51,547.512142857143,21.8969047619048,"NEW YORK NY","Yellow Cab"
"60",60,"Male",22,7305,31,17046.03,549.871935483871,23.488064516129,"NEW YORK NY","Yellow Cab"
"61",61,"Female",63,3110,36,19134.05,531.501388888889,19.8175,"NEW YORK NY","Yellow Cab"
"62",62,"Male",25,26144,27,12543.31,464.567037037037,19.3166666666667,"NEW YORK NY","Yellow Cab"
"63",63,"Male",40,8840,31,17909.62,577.729677419355,23.4306451612903,"NEW YORK NY","Yellow Cab"
"64",64,"Male",22,21502,36,16310.22,453.061666666667,19.0333333333333,"NEW YORK NY","Yellow Cab"
"65",65,"Female",51,11121,36,21768.17,604.671388888889,22.3066666666667,"NEW YORK NY","Yellow Cab"
"66",66,"Male",33,21248,39,21628.47,554.576153846154,21.6079487179487,"NEW YORK NY","Yellow Cab"
"67",67,"Male",25,5668,30,17282.96,576.098666666667,21.303,"NEW YORK NY","Yellow Cab"
"68",68,"Female",42,12108,36,18495,513.75,22.3216666666667,"NEW YORK NY","Yellow Cab"
"69",69,"Male",23,15234,33,21961.9,665.512121212121,24.9184848484848,"NEW YORK NY","Yellow Cab"
"70",70,"Male",20,2197,21,12206.13,581.244285714286,23.1452380952381,"NEW YORK NY","Yellow Cab"
"71",71,"Male",35,2443,36,18208.19,505.783055555556,20.3188888888889,"NEW YORK NY","Yellow Cab"
"72",72,"Male",41,16769,36,17735.3,492.647222222222,19.1963888888889,"NEW YORK NY","Yellow Cab"
"73",73,"Male",33,11901,29,15134.8,521.889655172414,19.5875862068965,"NEW YORK NY","Yellow Cab"
"74",74,"Female",28,17736,38,21300.13,560.529736842105,24.7313157894737,"NEW YORK NY","Yellow Cab"
"75",75,"Female",59,15875,28,17006.42,607.372142857143,23.1378571428571,"NEW YORK NY","Yellow Cab"
"76",76,"Female",38,25142,34,22057.93,648.762647058824,24.8611764705882,"NEW YORK NY","Yellow Cab"
"77",77,"Female",60,11596,18,12532.35,696.241666666667,25.7677777777778,"NEW YORK NY","Yellow Cab"
"78",78,"Male",25,13369,25,11709.92,468.3968,18.3448,"NEW YORK NY","Yellow Cab"
"79",79,"Female",34,20425,32,19782.28,618.19625,24.6003125,"NEW YORK NY","Yellow Cab"
"80",80,"Female",37,8040,29,18654.36,643.253793103448,24.968275862069,"NEW YORK NY","Yellow Cab"
"81",81,"Male",24,8257,21,15132.59,720.599523809524,27.4995238095238,"NEW YORK NY","Yellow Cab"
"82",82,"Male",27,3304,33,17340.06,525.456363636364,21.2921212121212,"NEW YORK NY","Yellow Cab"
"83",83,"Female",22,23940,47,25456.16,541.620425531915,20.8440425531915,"NEW YORK NY","Yellow Cab"
"84",84,"Male",26,20449,39,23614.3,605.494871794872,24.2064102564103,"NEW YORK NY","Yellow Cab"
"85",85,"Male",19,19765,31,17467.01,563.451935483871,23.4012903225806,"NEW YORK NY","Yellow Cab"
"86",86,"Male",53,8566,29,18426.74,635.404827586207,24.0172413793103,"NEW YORK NY","Yellow Cab"
"87",87,"Female",60,14602,28,15729.28,561.76,22.9867857142857,"NEW YORK NY","Yellow Cab"
"88",88,"Male",32,31206,38,21546.19,567.005,21.6897368421053,"NEW YORK NY","Yellow Cab"
"89",89,"Male",24,5505,44,24044.82,546.473181818182,21.5127272727273,"NEW YORK NY","Yellow Cab"
"90",90,"Female",48,15095,34,22129.78,650.875882352941,25.1964705882353,"NEW YORK NY","Yellow Cab"
"91",91,"Male",35,18180,32,17175.23,536.7259375,20.9709375,"NEW YORK NY","Yellow Cab"
"92",92,"Female",29,8309,38,21741.98,572.157368421053,22.8028947368421,"NEW YORK NY","Yellow Cab"
"93",93,"Male",29,6190,18,10798.41,599.911666666667,24.7444444444444,"NEW YORK NY","Yellow Cab"
"94",94,"Male",36,4891,34,20613.65,606.283823529412,24.5291176470588,"NEW YORK NY","Yellow Cab"
"95",95,"Male",39,11863,30,15977.23,532.574333333333,21.7573333333333,"NEW YORK NY","Yellow Cab"
"96",96,"Male",42,15447,32,19062.07,595.6896875,22.2278125,"NEW YORK NY","Yellow Cab"
"97",97,"Male",45,3855,34,18292.83,538.024411764706,20.9341176470588,"NEW YORK NY","Yellow Cab"
"98",98,"Male",35,12557,37,23602.28,637.899459459459,25.5897297297297,"NEW YORK NY","Yellow Cab"
"99",99,"Male",26,7438,32,20324.91,635.1534375,24.9371875,"NEW YORK NY","Yellow Cab"
"100",100,"Male",42,15913,39,23595.49,605.012564102564,23.9730769230769,"NEW YORK NY","Yellow Cab"
"101",101,"Female",25,22053,37,22047.64,595.882162162162,23.5321621621622,"NEW YORK NY","Yellow Cab"
"102",102,"Male",20,5189,32,18647.55,582.7359375,24.189375,"NEW YORK NY","Yellow Cab"
"103",103,"Female",27,15676,30,15891.39,529.713,19.985,"NEW YORK NY","Yellow Cab"
"104",104,"Male",24,5519,45,21422.29,476.050888888889,21.0291111111111,"NEW YORK NY","Yellow Cab"
"105",105,"Male",31,16003,39,19328.68,495.60717948718,20.0666666666667,"NEW YORK NY","Yellow Cab"
"106",106,"Female",32,10550,26,19478.84,749.186153846154,27.6707692307692,"NEW YORK NY","Yellow Cab"
"107",107,"Female",36,23170,30,18678.26,622.608666666667,25.2513333333333,"NEW YORK NY","Yellow Cab"
"108",108,"Female",33,22845,34,19766.06,581.354705882353,21.6511764705882,"NEW YORK NY","Yellow Cab"
"109",109,"Female",48,5897,29,15669.69,540.334137931035,19.9386206896552,"NEW YORK NY","Yellow Cab"
"110",110,"Male",33,18701,31,20154.71,650.151935483871,23.0103225806452,"NEW YORK NY","Yellow Cab"
"111",111,"Male",22,14957,36,22275.17,618.754722222222,23.4186111111111,"NEW YORK NY","Yellow Cab"
"112",112,"Male",33,19344,26,15240.9,586.188461538462,23.6373076923077,"NEW YORK NY","Yellow Cab"
"113",113,"Male",56,25900,36,22737.36,631.593333333333,24.8511111111111,"NEW YORK NY","Yellow Cab"
"114",114,"Female",38,5927,33,15262.9,462.512121212121,18.460303030303,"NEW YORK NY","Yellow Cab"
"115",115,"Male",62,21263,37,20913.58,565.231891891892,23.0716216216216,"NEW YORK NY","Yellow Cab"
"116",116,"Male",33,19872,34,19239.29,565.861470588235,21.7155882352941,"NEW YORK NY","Yellow Cab"
"117",117,"Male",61,19825,26,14908.28,573.395384615385,23.2976923076923,"NEW YORK NY","Yellow Cab"
"118",118,"Female",32,6772,37,23235.91,627.997567567568,25.1751351351351,"NEW YORK NY","Yellow Cab"
"119",119,"Male",36,14402,35,18372.45,524.927142857143,21.63,"NEW YORK NY","Yellow Cab"
"120",120,"Female",30,7530,37,20042.09,541.678108108108,21.3359459459459,"NEW YORK NY","Yellow Cab"
"121",121,"Female",37,14538,29,17213.99,593.585862068966,23.9041379310345,"NEW YORK NY","Yellow Cab"
"122",122,"Male",36,34694,30,19211.82,640.394,25.666,"NEW YORK NY","Yellow Cab"
"123",123,"Male",64,13426,40,23208.91,580.22275,22.5465,"NEW YORK NY","Yellow Cab"
"124",124,"Female",22,30300,38,20478.92,538.918947368421,21.8623684210526,"NEW YORK NY","Yellow Cab"
"125",125,"Male",37,20037,30,14413.44,480.448,19.744,"NEW YORK NY","Yellow Cab"
"126",126,"Female",18,10637,50,33857.12,677.1424,26.9324,"NEW YORK NY","Yellow Cab"
"127",127,"Male",33,4553,25,14568.59,582.7436,23.148,"NEW YORK NY","Yellow Cab"
"128",128,"Female",20,5074,38,22363.62,588.516315789474,23.2526315789474,"NEW YORK NY","Yellow Cab"
"129",129,"Male",21,7853,31,20553.16,663.005161290323,24.9532258064516,"NEW YORK NY","Yellow Cab"
"130",130,"Male",39,18725,34,15526.33,456.656764705882,19.5767647058824,"NEW YORK NY","Yellow Cab"
"131",131,"Male",61,21943,26,16174.34,622.09,22.4796153846154,"NEW YORK NY","Yellow Cab"
"132",132,"Male",33,22604,28,17855.66,637.702142857143,24.5746428571429,"NEW YORK NY","Yellow Cab"
"133",133,"Male",23,16405,37,24827.78,671.021081081081,25.0621621621622,"NEW YORK NY","Yellow Cab"
"134",134,"Male",37,3478,34,20283.68,596.578823529412,24.4764705882353,"NEW YORK NY","Yellow Cab"
"135",135,"Male",36,12472,21,11646.14,554.578095238095,19.6652380952381,"NEW YORK NY","Yellow Cab"
"136",136,"Male",34,14364,40,25332.22,633.3055,25.6385,"NEW YORK NY","Yellow Cab"
"137",137,"Male",33,2049,37,21805.95,589.35,23.5389189189189,"NEW YORK NY","Yellow Cab"
"138",138,"Male",36,19123,30,14832.99,494.433,20.5336666666667,"NEW YORK NY","Yellow Cab"
"139",139,"Male",38,7130,35,19963.58,570.388,20.4257142857143,"NEW YORK NY","Yellow Cab"
"140",140,"Female",35,12570,31,21864.52,705.307096774194,26.7941935483871,"NEW YORK NY","Yellow Cab"
"141",141,"Male",23,11097,33,16499.5,499.984848484848,20.3333333333333,"NEW YORK NY","Yellow Cab"
"142",142,"Male",60,10228,29,17606.49,607.120344827586,22.6606896551724,"NEW YORK NY","Yellow Cab"
"143",143,"Female",20,20256,28,15794.29,564.081785714286,21.9071428571429,"NEW YORK NY","Yellow Cab"
"144",144,"Female",50,19239,37,24705.33,667.711621621622,26.1486486486486,"NEW YORK NY","Yellow Cab"
"145",145,"Female",39,23477,22,11839.56,538.161818181818,21.2531818181818,"NEW YORK NY","Yellow Cab"
"146",146,"Male",19,2608,32,16378.79,511.8371875,21.09375,"NEW YORK NY","Yellow Cab"
"147",147,"Female",47,16546,36,17517.69,486.6025,19.7819444444444,"NEW YORK NY","Yellow Cab"
"148",148,"Male",29,12988,37,17102.62,462.232972972973,19.1778378378378,"NEW YORK NY","Yellow Cab"
"149",149,"Male",49,9649,37,18253.73,493.344054054054,20.0916216216216,"NEW YORK NY","Yellow Cab"
"150",150,"Male",40,8064,33,19345.63,586.231212121212,23.2342424242424,"NEW YORK NY","Yellow Cab"
"151",151,"Female",32,24771,30,15708.75,523.625,21.465,"NEW YORK NY","Yellow Cab"
"152",152,"Male",25,12708,21,12879.41,613.305238095238,24.9928571428571,"NEW YORK NY","Yellow Cab"
"153",153,"Male",32,27611,35,24589.84,702.566857142857,25.1637142857143,"NEW YORK NY","Yellow Cab"
"154",154,"Male",60,12692,29,17061.78,588.33724137931,20.5910344827586,"NEW YORK NY","Yellow Cab"
"155",155,"Male",52,24396,34,21465.19,631.329117647059,25.725,"NEW YORK NY","Yellow Cab"
"156",156,"Male",50,21785,36,23222.79,645.0775,24.5891666666667,"NEW YORK NY","Yellow Cab"
"157",157,"Male",51,20800,37,22366.2,604.491891891892,23.0010810810811,"NEW YORK NY","Yellow Cab"
"158",158,"Female",56,24768,34,19995.88,588.114117647059,22.6114705882353,"NEW YORK NY","Yellow Cab"
"159",159,"Male",20,3770,35,23140.62,661.160571428571,25.2534285714286,"NEW YORK NY","Yellow Cab"
"160",160,"Male",19,25882,38,19037.14,500.977368421053,20.1292105263158,"NEW YORK NY","Yellow Cab"
"161",161,"Female",31,18655,26,12496.81,480.646538461538,17.9603846153846,"NEW YORK NY","Yellow Cab"
"162",162,"Male",51,28837,29,18584.4,640.841379310345,23.4837931034483,"NEW YORK NY","Yellow Cab"
"163",163,"Female",42,2012,40,22143.64,553.591,21.5435,"NEW YORK NY","Yellow Cab"
"164",164,"Female",20,8619,32,18903.72,590.74125,24.754375,"NEW YORK NY","Yellow Cab"
"165",165,"Male",26,9701,34,21529.7,633.226470588235,24.9355882352941,"NEW YORK NY","Yellow Cab"
"166",166,"Male",31,12561,27,15285.4,566.125925925926,22.3944444444444,"NEW YORK NY","Yellow Cab"
"167",167,"Male",60,5974,22,14442.05,656.456818181818,27.0504545454545,"NEW YORK NY","Yellow Cab"
"168",168,"Male",37,32932,39,20239.69,518.96641025641,20.8123076923077,"NEW YORK NY","Yellow Cab"
"169",169,"Female",39,12898,34,17945.77,527.816764705882,22.0561764705882,"NEW YORK NY","Yellow Cab"
"170",170,"Female",62,24477,30,17047.13,568.237666666667,21.9613333333333,"NEW YORK NY","Yellow Cab"
"171",171,"Male",40,2971,30,18742.94,624.764666666667,23.018,"NEW YORK NY","Yellow Cab"
"172",172,"Female",32,23433,39,19592.87,502.381282051282,20.7441025641026,"NEW YORK NY","Yellow Cab"
"173",173,"Male",24,16425,38,20909.72,550.255789473684,22.2655263157895,"NEW YORK NY","Yellow Cab"
"174",174,"Male",22,12595,35,15400.47,440.013428571429,19.124,"NEW YORK NY","Yellow Cab"
"175",175,"Male",39,3928,33,19870.35,602.131818181818,23.3642424242424,"NEW YORK NY","Yellow Cab"
"176",176,"Male",22,4442,32,20367.54,636.485625,24.96625,"NEW YORK NY","Yellow Cab"
"177",177,"Male",22,23338,28,11913.6,425.485714285714,16.5257142857143,"NEW YORK NY","Yellow Cab"
"178",178,"Female",28,29246,37,22003.99,594.702432432432,23.7437837837838,"NEW YORK NY","Yellow Cab"
"179",179,"Female",28,12874,39,21862.3,560.571794871795,20.645641025641,"NEW YORK NY","Yellow Cab"
"180",180,"Male",40,15149,31,21390.21,690.006774193548,26.6103225806452,"NEW YORK NY","Yellow Cab"
"181",181,"Male",23,20101,34,21311.99,626.823235294118,24.7670588235294,"NEW YORK NY","Yellow Cab"
"182",182,"Male",31,15578,27,16391.22,607.082222222222,24.7062962962963,"NEW YORK NY","Yellow Cab"
"183",183,"Male",40,4852,35,17299.48,494.270857142857,18.5291428571429,"NEW YORK NY","Yellow Cab"
"184",184,"Female",35,34019,38,21443.69,564.307631578947,22.1265789473684,"NEW YORK NY","Yellow Cab"
"185",185,"Male",21,12163,40,23315.08,582.877,22.5895,"NEW YORK NY","Yellow Cab"
"186",186,"Female",29,21783,36,20848.71,579.130833333333,22.5402777777778,"NEW YORK NY","Yellow Cab"
"187",187,"Male",34,18482,34,17059.57,501.752058823529,20.5402941176471,"NEW YORK NY","Yellow Cab"
"188",188,"Female",45,21139,25,13971.97,558.8788,22.4004,"NEW YORK NY","Yellow Cab"
"189",189,"Female",47,16070,28,14530.84,518.958571428571,20.5817857142857,"NEW YORK NY","Yellow Cab"
"190",190,"Male",22,15891,31,16721.42,539.40064516129,23.5396774193548,"NEW YORK NY","Yellow Cab"
"191",191,"Male",36,30286,35,15734.94,449.569714285714,17.7208571428571,"NEW YORK NY","Yellow Cab"
"192",192,"Female",63,17515,40,26771.03,669.27575,25.1855,"NEW YORK NY","Yellow Cab"
"193",193,"Male",41,16890,38,24405.41,642.247631578947,23.6763157894737,"NEW YORK NY","Yellow Cab"
"194",194,"Female",49,13735,36,18695.3,519.313888888889,21.0425,"NEW YORK NY","Yellow Cab"
"195",195,"Male",40,17940,35,21092.53,602.643714285714,22.69,"NEW YORK NY","Yellow Cab"
"196",196,"Male",59,8044,40,22355.24,558.881,23.11975,"NEW YORK NY","Yellow Cab"
"197",197,"Female",41,21175,37,21390.57,578.123513513514,23.0867567567568,"NEW YORK NY","Yellow Cab"
"198",198,"Male",37,10015,29,16175.29,557.768620689655,22.3213793103448,"NEW YORK NY","Yellow Cab"
"199",199,"Male",56,21690,36,19722.01,547.833611111111,21.0463888888889,"NEW YORK NY","Yellow Cab"
"200",200,"Female",21,15696,37,20985.87,567.185675675676,22.5575675675676,"NEW YORK NY","Yellow Cab"
"201",201,"Female",38,24504,26,17733.73,682.066538461538,26.4119230769231,"NEW YORK NY","Yellow Cab"
"202",202,"Female",60,10758,34,18821.78,553.581764705882,23.0991176470588,"NEW YORK NY","Yellow Cab"
"203",203,"Female",58,17529,29,14919.23,514.456206896552,20.5134482758621,"NEW YORK NY","Yellow Cab"
"204",204,"Male",31,23294,43,24732.26,575.168837209302,21.9253488372093,"NEW YORK NY","Yellow Cab"
"205",205,"Female",65,18700,48,31936.69,665.347708333333,25.60125,"NEW YORK NY","Yellow Cab"
"206",206,"Female",27,23098,26,13398.06,515.31,20.4915384615385,"NEW YORK NY","Yellow Cab"
"207",207,"Male",25,11149,38,21791.87,573.470263157895,22.1452631578947,"NEW YORK NY","Yellow Cab"
"208",208,"Female",33,15477,25,15787.08,631.4832,24.558,"NEW YORK NY","Yellow Cab"
"209",209,"Male",28,11004,26,15083.78,580.145384615385,23.0476923076923,"NEW YORK NY","Yellow Cab"
"210",210,"Female",29,21131,38,21388.53,562.856052631579,22.4355263157895,"NEW YORK NY","Yellow Cab"
"211",211,"Male",31,3965,31,18454.98,595.321935483871,25.1238709677419,"NEW YORK NY","Yellow Cab"
"212",212,"Male",45,9390,37,19002.47,513.58027027027,21.4891891891892,"NEW YORK NY","Yellow Cab"
"213",213,"Male",34,6395,28,18946.74,676.669285714286,27.1032142857143,"NEW YORK NY","Yellow Cab"
"214",214,"Female",36,8675,29,17094.77,589.474827586207,24.6206896551724,"NEW YORK NY","Yellow Cab"
"215",215,"Female",21,11218,32,18478.33,577.4478125,23.129375,"NEW YORK NY","Yellow Cab"
"216",216,"Female",47,15763,22,10944.27,497.466818181818,19.5086363636364,"NEW YORK NY","Yellow Cab"
"217",217,"Male",65,13894,38,20012.79,526.652368421053,22.6636842105263,"NEW YORK NY","Yellow Cab"
"218",218,"Female",21,32642,26,14061.69,540.834230769231,21.8296153846154,"NEW YORK NY","Yellow Cab"
"219",219,"Male",23,20012,29,15655.27,539.836896551724,21.0393103448276,"NEW YORK NY","Yellow Cab"
"220",220,"Male",30,10201,42,20010.73,476.445952380952,20.2057142857143,"NEW YORK NY","Yellow Cab"
"221",221,"Male",39,18545,26,16878.6,649.176923076923,25.9134615384615,"NEW YORK NY","Yellow Cab"
"222",222,"Female",22,11489,32,18156.53,567.3915625,20.47375,"NEW YORK NY","Yellow Cab"
"223",223,"Male",22,2356,29,16319.54,562.74275862069,20.8227586206897,"NEW YORK NY","Yellow Cab"
"224",224,"Female",55,29928,36,18984.12,527.336666666667,19.8988888888889,"NEW YORK NY","Yellow Cab"
"225",225,"Female",40,28885,33,19556.05,592.607575757576,22.7242424242424,"NEW YORK NY","Yellow Cab"
"226",226,"Male",27,8098,30,17265.73,575.524333333333,24.1126666666667,"NEW YORK NY","Yellow Cab"
"227",227,"Male",55,16137,34,20876.27,614.007941176471,24.4891176470588,"NEW YORK NY","Yellow Cab"
"228",228,"Male",32,3273,25,15420.02,616.8008,24.1004,"NEW YORK NY","Yellow Cab"
"229",229,"Male",20,21602,40,23894.45,597.36125,23.4445,"NEW YORK NY","Yellow Cab"
"230",230,"Male",57,7950,37,23013.48,621.985945945946,24.2718918918919,"NEW YORK NY","Yellow Cab"
"231",231,"Male",62,26198,32,19438.56,607.455,23.7903125,"NEW YORK NY","Yellow Cab"
"232",232,"Male",29,17016,40,24162.11,604.05275,23.13675,"NEW YORK NY","Yellow Cab"
"233",233,"Male",40,11591,20,11191.67,559.5835,23.0905,"NEW YORK NY","Yellow Cab"
"234",234,"Male",59,5781,37,24041.35,649.766216216216,24.6727027027027,"NEW YORK NY","Yellow Cab"
"235",235,"Male",39,24079,35,19071.33,544.895142857143,20.6114285714286,"NEW YORK NY","Yellow Cab"
"236",236,"Male",33,13072,30,19486.3,649.543333333333,26.6486666666667,"NEW YORK NY","Yellow Cab"
"237",237,"Female",61,4637,28,12109.28,432.474285714286,18.7442857142857,"NEW YORK NY","Yellow Cab"
"238",238,"Female",38,31458,31,18159.84,585.801290322581,21.5683870967742,"NEW YORK NY","Yellow Cab"
"239",239,"Female",34,34510,33,16402.73,497.052424242424,19.270303030303,"NEW YORK NY","Yellow Cab"
"240",240,"Female",30,10273,31,14638.26,472.201935483871,19.9138709677419,"NEW YORK NY","Yellow Cab"
"241",241,"Male",34,17935,31,22125.38,713.721935483871,25.5451612903226,"NEW YORK NY","Yellow Cab"
"242",242,"Male",23,24446,29,13653.39,470.806551724138,19.1062068965517,"NEW YORK NY","Yellow Cab"
"243",243,"Female",31,15547,39,22131.53,567.475128205128,23.4566666666667,"NEW YORK NY","Yellow Cab"
"244",244,"Male",35,21354,34,17424.42,512.48294117647,20.4176470588235,"NEW YORK NY","Yellow Cab"
"245",245,"Male",27,15863,37,20979.86,567.023243243243,22.4124324324324,"NEW YORK NY","Yellow Cab"
"246",246,"Male",26,25731,23,14364.12,624.526956521739,26.0026086956522,"NEW YORK NY","Yellow Cab"
"247",247,"Male",50,5552,22,14746.07,670.275909090909,25.8209090909091,"NEW YORK NY","Yellow Cab"
"248",248,"Female",24,18515,34,18363.41,540.100294117647,23.5052941176471,"NEW YORK NY","Yellow Cab"
"249",249,"Female",40,22296,27,15676.75,580.62037037037,22.4455555555556,"NEW YORK NY","Yellow Cab"
"250",250,"Male",27,17075,27,14107.91,522.515185185185,20.192962962963,"NEW YORK NY","Yellow Cab"
"251",251,"Male",29,2042,23,13662.15,594.00652173913,23.4213043478261,"NEW YORK NY","Yellow Cab"
"252",252,"Female",22,4972,29,19516.07,672.967931034483,27.4537931034483,"NEW YORK NY","Yellow Cab"
"253",253,"Female",27,20477,31,18359.49,592.241612903226,23.6522580645161,"NEW YORK NY","Yellow Cab"
"254",254,"Female",37,24816,31,18271.03,589.388064516129,21.5648387096774,"NEW YORK NY","Yellow Cab"
"255",255,"Male",33,3064,32,17368.16,542.755,22.11125,"NEW YORK NY","Yellow Cab"
"256",256,"Male",59,24638,24,15379.09,640.795416666667,24.1795833333333,"NEW YORK NY","Yellow Cab"
"257",257,"Male",21,8518,28,15120.34,540.012142857143,21.0835714285714,"NEW YORK NY","Yellow Cab"
